字段名,中文解释,数据类型,类型分类,业务归属,是否可能有异常值,可直接用于模型
user_id,用户ID,string,ID,标识,否,否
item_id,商品ID,string,ID,标识,否,否
age,年龄,int,数值-用户,用户基础属性,是(极端年龄),是
gender,性别,int,类别-用户,用户基础属性,否,是
user_level,用户等级,int,数值-用户,用户活跃度,否,是
purchase_freq,购买频次,int,数值-用户,用户消费能力,是(高频),是
total_spend,累计消费金额,float,数值-用户,用户消费能力,是(高消费),是
register_days,注册天数,int,数值-用户,用户成熟度,否,是
follow_num,关注数,int,数值-用户,用户社交关系,否,是
fans_num,粉丝数,int,数值-用户,用户社交关系,否,是
price,商品价格,float,数值-商品,商品吸引力,是(极端价格),是
discount_rate,折扣率,float,数值-商品,价格策略,否,是
category,商品类目,string,类别-商品,商品类别,否,需编码
title_length,标题长度,int,数值-内容,内容包装,否,是
title_emo_score,标题情感分数,float,数值-内容,内容包装,否,是
img_count,图片数量,int,数值-内容,内容包装,否,是
has_video,是否有视频,int,类别-内容,内容形式,否,是
like_num,点赞数,int,数值-互动,种草强度,是(超高互动),需变换
comment_num,评论数,int,数值-互动,种草强度,是(超高互动),需变换
share_num,分享数,int,数值-互动,传播力,是(超高互动),需变换
collect_num,收藏数,int,数值-互动,种草强度,是(超高互动),需变换
is_follow_author,是否关注作者,int,类别-互动,作者关系,否,是
add2cart,是否加购,int,类别-行为,转化意图,否,是
coupon_received,是否领券,int,类别-行为,转化意图,否,是
coupon_used,是否用券,int,类别-行为,转化意图,否,是
pv_count,浏览次数,int,数值-行为,浏览深度,是(高浏览),需变换
last_click_gap,上次点击间隔,float,数值-行为,时间间隔,否,是
interaction_rate,互动率,float,衍生,综合互动,否,是
purchase_intent,购买意向指数,float,衍生,购买倾向,否,是
freshness_score,内容新鲜度,float,衍生,时效性,否,是
social_influence,社交影响力,float,衍生,社交能力,否,是
label,是否购买(目标变量),int,目标变量,目标变量,否,是
